"County Economic Status, Fiscal Year 2019",,,,,,,
FIPS,Area Name,"Three-Year Average Unemployment Rate, 2014–2016","Per Capita Market Income, 2016","Poverty Rate, 2012–2016","Three-Year Avg. Unemp. Rate, Percent of U.S. Avg., 2014–2016","Per Capita Market Income, Percent of U.S. Average, 2016","Poverty Rate, Percent of U.S. Average, 2012–2016"
 21205,"Rowan County, Kentucky",6.10%,"$18,987 ",25.90%,112.30%,46.70%,171.40%
 21207,"Russell County, Kentucky",10.10%,"$18,977 ",26.50%,185.50%,46.60%,175.10%
 21231,"Wayne County, Kentucky",8.30%,"$15,869 ",25.40%,152.10%,39.00%,167.90%
 21235,"Whitley County, Kentucky",7.30%,"$19,023 ",27.00%,134.90%,46.80%,178.90%
 21237,"Wolfe County, Kentucky",10.30%,"$10,819 ",40.80%,190.20%,26.60%,270.20%
 24001,"Allegany County, Maryland",6.90%,"$25,744 ",17.40%,126.80%,63.30%,115.20%
 24023,"Garrett County, Maryland",6.30%,"$30,818 ",12.70%,116.20%,75.80%,83.70%
 24043,"Washington County, Maryland",5.60%,"$33,991 ",12.90%,103.90%,83.60%,85.50%
 28003,"Alcorn County, Mississippi",5.80%,"$20,390 ",19.90%,106.90%,50.10%,131.90%
 28009,"Benton County, Mississippi",8.00%,"$17,582 ",22.70%,147.40%,43.20%,150.10%
 28013,"Calhoun County, Mississippi",6.40%,"$19,765 ",26.30%,116.90%,48.60%,174.30%
 28017,"Chickasaw County, Mississippi",8.00%,"$22,608 ",27.20%,147.50%,55.60%,179.70%
 28019,"Choctaw County, Mississippi",6.70%,"$20,036 ",24.50%,122.40%,49.30%,161.90%
 28025,"Clay County, Mississippi",10.30%,"$23,985 ",26.00%,189.70%,59.00%,172.20%
 28057,"Itawamba County, Mississippi",5.90%,"$21,693 ",20.20%,109.40%,53.30%,134.00%
 28069,"Kemper County, Mississippi",10.60%,"$17,364 ",29.90%,195.90%,42.70%,198.10%
 28081,"Lee County, Mississippi",5.80%,"$29,246 ",18.50%,107.30%,71.90%,122.20%
 28087,"Lowndes County, Mississippi",7.30%,"$28,164 ",21.90%,134.20%,69.20%,145.30%
 28093,"Marshall County, Mississippi",7.30%,"$21,068 ",18.20%,134.10%,51.80%,120.60%
 28095,"Monroe County, Mississippi",7.90%,"$23,086 ",20.60%,145.40%,56.80%,136.10%
 28097,"Montgomery County, Mississippi",7.80%,"$21,124 ",28.50%,143.50%,51.90%,188.90%
 28103,"Noxubee County, Mississippi",10.20%,"$19,613 ",32.40%,187.30%,48.20%,214.20%
 28105,"Oktibbeha County, Mississippi",6.20%,"$24,362 ",32.60%,115.00%,59.90%,215.70%
 28107,"Panola County, Mississippi",8.90%,"$20,838 ",22.40%,163.30%,51.20%,148.10%
 28115,"Pontotoc County, Mississippi",5.70%,"$22,747 ",18.00%,104.80%,55.90%,119.50%
 28117,"Prentiss County, Mississippi",6.30%,"$19,588 ",22.70%,116.50%,48.20%,150.00%
 28139,"Tippah County, Mississippi",6.70%,"$20,350 ",23.50%,123.10%,50.00%,155.80%
 28141,"Tishomingo County, Mississippi",6.50%,"$18,757 ",18.60%,119.20%,46.10%,123.30%
 28145,"Union County, Mississippi",5.20%,"$23,203 ",19.10%,95.80%,57.00%,126.20%
 28155,"Webster County, Mississippi",7.30%,"$20,297 ",21.50%,135.10%,49.90%,142.00%
 28159,"Winston County, Mississippi",8.40%,"$20,687 ",28.30%,155.10%,50.90%,187.10%
 28161,"Yalobusha County, Mississippi",7.50%,"$17,941 ",21.60%,138.60%,44.10%,142.80%
 36003,"Allegany County, New York",6.30%,"$24,428 ",17.10%,116.00%,60.10%,113.00%
 36007,"Broome County, New York",6.00%,"$29,909 ",17.40%,110.40%,73.50%,115.30%
 36009,"Cattaraugus County, New York",6.40%,"$27,156 ",17.50%,117.70%,66.80%,115.60%
 36013,"Chautauqua County, New York",6.20%,"$25,500 ",19.40%,114.00%,62.70%,128.40%
 36015,"Chemung County, New York",5.90%,"$29,209 ",15.90%,109.00%,71.80%,105.50%
 36017,"Chenango County, New York",5.60%,"$28,107 ",15.40%,102.40%,69.10%,101.80%
 36023,"Cortland County, New York",6.00%,"$28,732 ",13.80%,110.70%,70.60%,91.00%
 36025,"Delaware County, New York",6.00%,"$25,837 ",15.90%,110.70%,63.50%,104.90%
 36077,"Otsego County, New York",5.30%,"$29,159 ",16.30%,98.00%,71.70%,108.00%
 36095,"Schoharie County, New York",6.00%,"$27,746 ",14.10%,109.60%,68.20%,93.60%
 36097,"Schuyler County, New York",6.50%,"$29,084 ",14.60%,119.90%,71.50%,96.80%
 36101,"Steuben County, New York",6.30%,"$30,527 ",15.10%,116.20%,75.00%,99.80%
 36107,"Tioga County, New York",5.60%,"$31,275 ",11.00%,102.70%,76.90%,72.70%
 36109,"Tompkins County, New York",4.30%,"$34,300 ",20.10%,79.10%,84.30%,132.80%
 37003,"Alexander County, North Carolina",4.90%,"$25,035 ",17.40%,90.90%,61.50%,114.90%
 37005,"Alleghany County, North Carolina",6.20%,"$22,961 ",19.50%,113.80%,56.40%,128.80%
 37009,"Ashe County, North Carolina",5.90%,"$22,177 ",19.90%,108.60%,54.50%,131.90%
 37011,"Avery County, North Carolina",5.80%,"$22,966 ",16.70%,107.50%,56.50%,110.50%
 37021,"Buncombe County, North Carolina",4.30%,"$34,337 ",14.80%,79.00%,84.40%,97.70%
 37023,"Burke County, North Carolina",5.60%,"$23,030 ",19.90%,102.50%,56.60%,131.50%
 37027,"Caldwell County, North Carolina",6.20%,"$22,938 ",17.60%,114.80%,56.40%,116.30%
 37039,"Cherokee County, North Carolina",6.40%,"$17,262 ",19.50%,117.80%,42.40%,129.30%
 37043,"Clay County, North Carolina",6.00%,"$18,784 ",16.20%,111.20%,46.20%,107.30%
 37059,"Davie County, North Carolina",5.10%,"$33,539 ",13.90%,94.40%,82.40%,92.20%
 37067,"Forsyth County, North Carolina",5.50%,"$36,354 ",19.50%,100.40%,89.40%,129.20%
 37075,"Graham County, North Carolina",11.40%,"$19,008 ",19.30%,210.50%,46.70%,127.90%
 37087,"Haywood County, North Carolina",5.20%,"$27,973 ",16.70%,95.80%,68.80%,110.50%
 37089,"Henderson County, North Carolina",4.70%,"$28,714 ",13.30%,86.00%,70.60%,87.90%
 37099,"Jackson County, North Carolina",6.00%,"$25,330 ",23.10%,111.30%,62.30%,152.80%
 37113,"Macon County, North Carolina",6.10%,"$25,404 ",18.40%,111.40%,62.50%,121.60%
 37115,"Madison County, North Carolina",5.60%,"$20,941 ",16.60%,103.10%,51.50%,110.10%
 37111,"McDowell County, North Carolina",5.60%,"$21,217 ",20.00%,102.70%,52.20%,132.60%
 37121,"Mitchell County, North Carolina",6.90%,"$21,195 ",18.00%,127.40%,52.10%,119.40%
 37149,"Polk County, North Carolina",5.00%,"$31,512 ",14.50%,92.60%,77.50%,96.10%
 37161,"Rutherford County, North Carolina",7.70%,"$19,680 ",19.30%,141.40%,48.40%,127.90%
 37169,"Stokes County, North Carolina",5.40%,"$23,948 ",15.40%,99.70%,58.90%,101.80%
 37171,"Surry County, North Carolina",5.50%,"$25,015 ",17.90%,100.40%,61.50%,118.10%
 37173,"Swain County, North Carolina",7.50%,"$22,380 ",23.40%,138.80%,55.00%,155.00%
 37175,"Transylvania County, North Carolina",5.40%,"$26,277 ",14.40%,99.00%,64.60%,95.00%
 37189,"Watauga County, North Carolina",4.80%,"$27,362 ",31.30%,88.80%,67.30%,207.30%
 37193,"Wilkes County, North Carolina",5.70%,"$22,823 ",21.10%,104.70%,56.10%,139.50%
 37197,"Yadkin County, North Carolina",5.00%,"$24,552 ",19.00%,92.40%,60.40%,125.60%
 37199,"Yancey County, North Carolina",5.90%,"$20,933 ",21.30%,109.50%,51.50%,141.10%
 39001,"Adams County, Ohio",8.20%,"$19,304 ",24.50%,150.20%,47.50%,162.00%
 39007,"Ashtabula County, Ohio",6.40%,"$24,388 ",19.60%,117.40%,60.00%,129.70%
 39009,"Athens County, Ohio",6.40%,"$24,097 ",31.20%,118.00%,59.20%,206.80%
 39013,"Belmont County, Ohio",6.80%,"$27,211 ",15.10%,125.50%,66.90%,99.80%
 39015,"Brown County, Ohio",6.50%,"$23,805 ",16.70%,118.80%,58.50%,110.20%
 39019,"Carroll County, Ohio",6.30%,"$26,799 ",14.00%,115.70%,65.90%,92.50%
 39025,"Clermont County, Ohio",4.80%,"$41,210 ",10.50%,87.90%,101.30%,69.70%
 39029,"Columbiana County, Ohio",6.30%,"$25,229 ",15.80%,116.00%,62.00%,104.30%
 39031,"Coshocton County, Ohio",7.00%,"$22,927 ",14.00%,127.90%,56.40%,92.50%
 39053,"Gallia County, Ohio",7.00%,"$23,372 ",21.40%,127.90%,57.50%,141.90%
 39059,"Guernsey County, Ohio",6.60%,"$25,977 ",19.80%,122.10%,63.90%,131.40%
 39067,"Harrison County, Ohio",6.60%,"$24,679 ",18.10%,121.50%,60.70%,119.70%
 39071,"Highland County, Ohio",6.80%,"$22,526 ",20.70%,125.10%,55.40%,137.30%
 39073,"Hocking County, Ohio",5.80%,"$24,316 ",16.60%,107.10%,59.80%,110.00%
 39075,"Holmes County, Ohio",3.60%,"$34,153 ",12.90%,67.00%,84.00%,85.10%
 39079,"Jackson County, Ohio",8.00%,"$22,922 ",23.00%,147.80%,56.30%,152.30%
 39081,"Jefferson County, Ohio",7.90%,"$23,746 ",17.20%,146.10%,58.40%,113.90%
 39087,"Lawrence County, Ohio",6.30%,"$23,238 ",18.40%,116.40%,57.10%,122.00%
 39099,"Mahoning County, Ohio",6.40%,"$29,365 ",18.10%,117.20%,72.20%,119.70%
 39105,"Meigs County, Ohio",8.50%,"$19,778 ",22.80%,156.70%,48.60%,150.70%
 39111,"Monroe County, Ohio",10.70%,"$19,257 ",18.80%,196.70%,47.30%,124.50%
 39115,"Morgan County, Ohio",7.70%,"$20,206 ",20.30%,142.40%,49.70%,134.20%
 39119,"Muskingum County, Ohio",6.40%,"$27,644 ",17.40%,118.30%,68.00%,115.30%
 39121,"Noble County, Ohio",7.80%,"$22,366 ",11.90%,143.60%,55.00%,78.90%
 39127,"Perry County, Ohio",6.70%,"$24,545 ",20.60%,123.50%,60.30%,136.50%
 39131,"Pike County, Ohio",7.90%,"$21,151 ",20.70%,145.90%,52.00%,136.90%
 39141,"Ross County, Ohio",5.70%,"$24,680 ",18.80%,105.50%,60.70%,124.80%
 39145,"Scioto County, Ohio",8.00%,"$20,904 ",24.00%,147.30%,51.40%,158.60%
 39155,"Trumbull County, Ohio",6.80%,"$26,952 ",17.50%,125.00%,66.30%,115.70%
 39157,"Tuscarawas County, Ohio",5.50%,"$31,277 ",13.60%,101.70%,76.90%,89.80%
 39163,"Vinton County, Ohio",7.20%,"$20,473 ",21.30%,132.10%,50.30%,140.70%
 39167,"Washington County, Ohio",6.40%,"$29,162 ",15.70%,118.20%,71.70%,103.70%
 42003,"Allegheny County, Pennsylvania",5.20%,"$44,794 ",12.70%,95.30%,110.10%,84.30%
 42005,"Armstrong County, Pennsylvania",6.90%,"$29,148 ",13.20%,126.50%,71.70%,87.10%
 42007,"Beaver County, Pennsylvania",6.30%,"$32,152 ",10.80%,115.00%,79.00%,71.70%
 42009,"Bedford County, Pennsylvania",6.20%,"$27,229 ",14.20%,113.80%,66.90%,94.10%
 42013,"Blair County, Pennsylvania",5.40%,"$30,287 ",14.80%,99.30%,74.50%,97.90%
 42015,"Bradford County, Pennsylvania",6.00%,"$29,197 ",12.40%,109.80%,71.80%,82.20%
 42019,"Butler County, Pennsylvania",5.00%,"$43,703 ",8.50%,91.30%,107.40%,55.90%
 42021,"Cambria County, Pennsylvania",6.80%,"$26,591 ",15.60%,125.10%,65.40%,103.20%
 42023,"Cameron County, Pennsylvania",7.20%,"$30,138 ",12.70%,132.60%,74.10%,84.10%
 42025,"Carbon County, Pennsylvania",6.40%,"$35,153 ",12.10%,117.20%,86.40%,79.80%
 42027,"Centre County, Pennsylvania",4.20%,"$34,480 ",19.10%,76.40%,84.80%,126.70%
 42031,"Clarion County, Pennsylvania",6.20%,"$26,679 ",18.60%,114.00%,65.60%,122.80%
 42033,"Clearfield County, Pennsylvania",7.10%,"$29,567 ",14.80%,130.00%,72.70%,98.30%
 42035,"Clinton County, Pennsylvania",7.10%,"$26,461 ",17.30%,130.50%,65.00%,114.20%
 42037,"Columbia County, Pennsylvania",5.80%,"$29,209 ",15.30%,107.10%,71.80%,101.20%
 42039,"Crawford County, Pennsylvania",5.70%,"$26,338 ",14.50%,104.00%,64.70%,96.00%
 42047,"Elk County, Pennsylvania",5.20%,"$33,642 ",8.80%,95.90%,82.70%,58.00%
